,0
231,"Автор жалуется на ""неприятный и второй свежести"" пафос, раздутые щеки вокруг, среднего качества еду и обезличенное безразличное обслуживание в типичной кофемании, помноженной на пафос места и посетителей."
232,Автор жалуется на длительное ожидание заказа и периодическую путаницу между официантами.
233,"Автор жалуется на медленное обслуживание и несвоевременную доставку вина. Он также отмечает, что пицца понравилась, но от вина пришлось отказаться."
234,"Автор жалуется на качество еды и обслуживание в ресторане. Он утверждает, что еда была невкусной, порции маленькие, а официанты безразличны к клиентам."
235,"Отвратительно! Начиная от доставки, когда доставщик обращается на ТЫ и требуеть самому доставать свой заказ из ЕГО сумки!!! и заканчивая самой пиццей, котороя сухая, подгоревшая, по составу и внешнему виду СОВСЕМ не соответствует заявленной в меню, половина ингредиентов отсутствуют как таковые!! Не попадайтесь на уловки и акции избегайте это заведение!"
236,"Автор жалуется на работу компании Домино 'с Пицца, а именно на несвоевременную доставку пиццы и ее несоответствие заказанному виду. Он также отмечает, что компания не смогла предоставить компенсацию за не вовремя доставленную пиццу."
237,Автор жалуется на отсутствие классических круассанов утром в магазине.
238,"Автор жалуется на качество пирожных, которые он взял в кафе. Он утверждает, что они не вкусные и не соответствуют его ожиданиям. Автор советует руководству обратить внимание на такие отзывы и улучшить качество продукции."
239,"Автор жалуется на отсутствие вежливости и клиентоориентированности со стороны продавца в кофейне ""Dim""."
240,"Коктейль Молочный за 129 рублей - ледяной, как сердце бывшей, но это не комплимент. На дне обнаружились ошметки полиэтилена. Скамейки жёсткие, сидеть некомфортно очень."
241,"Автор жалуется на то, что все 3 вида пирожных в кафе оказались старыми и замохшими, а ценник как за только что сделанные."
242,"Автор жалуется на грязь и антисанитарию в кофейне. Он отмечает, что все валяется, кабели свисают с потолка, а в туалете невозможно дышать. Бариста приходят с улицы и сразу становятся за прилавок без мытья рук."
243,"Автор жалуется на несвоевременное выполнение заказа, неправильное добавление соусов и несолёную еду, а также на длительное время приготовления напитков."
244,"В данном отзыве автор жалуется на тараканов, которые, по его мнению, являются главным недостатком заведения."
245,"Автор жалуется на грубость со стороны владельца, который без выяснения намерений и проявления лояльности приказал покинуть террасу. Автор также отмечает, что заведение не вызывает доверия из-за неприятной обстановки и плохого качества кофе."
246,"Автор жалуется на то, что заказанный им лимонад с клубникой и киви оказался невкусным. Он также выражает сожаление по поводу потраченных денег."
247,"Автор жалуется на то, что в пекарне всего два посадочных места за барной стойкой."
248,"Автор жалуется на отсутствие гостеприимства, невкусную еду и несвоевременную подачу вторых блюд. Он также отмечает, что цезарь с помидорами черри и салатом айсбер ему понравился, но удон с говядиной был только с одной ""начинкой"", а лимонад ягодно-имбирный с отчетливым вкусом Буратино не понравился."
249,"Автор жалуется на плохое качество предоставляемых услуг в бизнес-центре. Он отмечает, что один лифт пол года не работал, а охрана как на заводе. Кроме того, автор отмечает грязь в туалетах и курящих людей на пожарной лестнице. В целом автор оценивает БЦ на 2 балла из 5."
250,"Автор жалуется на то, что в меню не оказалось заявленных сезонных напитков, а бариста предложила вместо них латте/капучино/раф ""баунти"", не уточнив что из этого автор хочет."
251,"Автор жалуется на то, что в магазине нет плетенки с маком."
252,"Автор жалуется на то, что на стеклянных дверях кофейни нет наклейки с извинениями за разбитый нос и головную боль. Он также требует, чтобы продавцы повесили такую табличку, иначе он подаст на них в суд."
253,"Автор жалуется на то, что в кафе на углу Невского и Пушкинской улицы не убрано на столах и в туалете, а уборщица мило общалась с баристой."
254,"Автор жалуется на плохое качество обслуживания в кафе ""Шоколадница"" в самом центре Москвы. Он описывает, что заведение находится в полуподвальном помещении с облезлыми стенами и коридором, который напоминает фильмы ужасов. Автор также отмечает непримечательный интерьер кафе и отсутствие горячих блюд в некоторых меню. Кроме того, автор отмечает проблемы с списанием и начислением бонусов у официантов."
255,"Автор жалуется на то, что в заведении нет пандуса для маломобильных людей и молодых родителей."
256,"Автор жалуется на то, что ему принесли полупустой стакан апельсинового кофе объемом 500 мл, хотя на стакане была маркировка, указывающая на его полный объем."
257,"Автор жалуется на качество шаурмы, которую он купил в данном заведении."
258,"Автор жалуется на то, что в ресторане невозможно дышать и нет быстрого перекуса."
259,"Автор жалуется на то, что ему принесли хлеб с плесенью и куриные сердечки не первой свежести, которые были разогреты."
260,"Автор жалуется на то, что администратора утром в заведении нет, уборщица обтирает стол, за которым уже сидят гости, ожидание длительное, бриоши посыпаны углем или непонятно чем, яйцо пашот сварено в крутую, паста отвратительная, мокороны недоваренные, черный сгоревший жареный лук под макароннами с беконом (лук тоже по технологии?)."
261,"Автор жалуется на несвоевременную подачу салата Green и пасты с креветками, а также на то, что салат остался почти готовым."
262,"Автор жалуется на то, что ресторан работает не каждый день."
263,"Автор жалуется на не удобную систему заказа еды и напитков, а также на то, что официанты общаются со своими знакомыми при одних посетителях, создавая атмосферу панибратства. Он также отмечает не вкусный омлет, подгоревшую корку на блине и чрезмерную сладость какао."
264,"Автор жалуется на отвратительный вкус американо, черствый шоколадный торт, несвежие орешки и сгущенку, невкусное буше и пересоленные оладьи из цукини."
265,Автор жалуется на качество еды в корейском боуле.
266,"Автор жалуется на то, что в кофейне холодный кофе и столы в разводах от грязной тряпки."
267,Автор жалуется на антисанитарию и посредственное отношение владельцев к гостям и сотрудникам.
268,"Автор жалуется на то, что в кофейне стало меньше посетителей женского пола."
269,"Отзывы не понятные, точка не давно открылась!!! Кофе не вкусный, сироп который должен идти бесплатно продают. И то по каплям льют."
270,"Автор жалуется на качество пиццы в сети пиццерий ""Доминос"". Он считает, что это не пицца, а сухари с тончайшим слоем начинки. Автор также отмечает тенденцию к повышению маржи за счет продажи плохого продукта по хорошей цене."
271,"Автор жалуется на то, что цены в кафе высокие, но при этом он часто сюда ходит и отмечает вкусную мороженку и сок. Он также выражает недоумение по поводу недовольства других посетителей."
272,Автор жалуется на обслуживание и цены в ресторане.
273,"Автор жалуется на не очень уютное заведение, некачественную еду и парковку. Он отмечает, что пасту принесли раньше салата, а карбонара с холодным яйцом-пашот с жидким полупрозрачным белком и пастообразным холодным желтком была подана с экстравагантной подачей."
274,"Автор жалуется на то, что в кафе очень долго готовят и обслуживают две молодые хамоватые девушки. Он также отмечает низкий уровень сервиса и отсутствие аппетита после ожидания кофе с сырниками."
275,"Автор жалуется на качество кофе в кофейне ""Кофемания"" на Маяковской. Он утверждает, что в субботу ему принесли не тот кофе, который он ожидал, и что кто-то решил сэкономить на соусе Сингапура и альтернативном молоке. В целом, автор оставляет негативное впечатление о работе кофейни."
276,Автор жалуется на отсутствие льда в магазине во время акции.
277,"Автор жалуется на ужасное обслуживание в кафе с детьми. Он описывает, как официантка принесла меню через 15 минут после его прихода и сказала, что детское меню готовится быстро. В итоге автор получил два блина, суп лапшу и картошку фри, ожидание которых заняло более 40 минут. Автор также упоминает о желании попробовать щучьи котлеты, но из-за ожидания не взял еду, а вместо этого пошел в другое кафе, где его быстро обслужили и вкусно покушали."
278,"Автор жалуется на недостаточное количество посадочных мест в основном ресторане (2 этажа, на 1-м кофейня с 5-ю столами) и хромающий сервис в кофейне. Он также отмечает, что это наверное единственное место в Костроме, где можно позавтракать с 8 утра."
279,"Автор жалуется на то, что никто из официантов не подошел к его столику в течение 20 минут."
280,"Автор жалуется на то, что в кофейне Серф на ул. Казачьей ему отказали в заказе хот-дога, а после трапезы к нему подсела толпа девушек, которые вели себя вальяжно, как будто хозяева заведения. Он также отмечает грязный столик и пыльную атрибутику рядом с проигрывателем."
281,"Автор жалуется на то, что в ресторане был аншлаг, официантов не хватало, блюда приносили долго и холодные, музыка орала, стол был забронирован неправильно, не было гардероба, цены завышены на все для такого сервиса, витрина с ценами находится там, где люди заходят, и ты стоишь просто как придурок всем мешаешь."
282,"Автор жалуется на то, что качество еды в ресторане не соответствует его ожиданиям, а также на длительное ожидание блюд в праздничный день."
283,"Автор жалуется на ужасный сервис в ресторане. Он описывает, что официанты не подходят по 20 минут и не могут помочь с заказом, пока сам к ним не подойдешь. В результате автор решает больше не ходить в это заведение."
284,Автор жалуется на ужасный вкус блюд в ресторане.
285,"Автор жалуется на плохое качество шавермы, овощей в ней и салата в тайском ресторане. Он также отмечает, что салаты никакие."
286,"Автор жалуется на плохое обслуживание, отсутствие интернета и стандартное кофе в данной кофейне."
287,"Автор жалуется на обслуживание в кафе на Новом Арбате. Он считает, что официант отвратительно относится к своей работе, выходя на конфликт. В частности, автор указывает на несоответствие мяса в борще заявленному в меню и ужасный запах блюда, который она забирает и не может вычеркнуть из счета. Также автор возмущен тем, как официант отнеслась к десерту - голубике, которая должна была идти в утилизацию, но была добавлена в десерт."
288,"Автор жалуется на то, что заведение изменилось в худшую сторону по сравнению с предыдущим посещением. Он описывает, как два раза были приготовлены горелые тердельники и подавались как что-то нормальное, девушка на кассе стоит не стесняясь ногти грызет, а из подсобки слышна громкая ругань матом."
289,"Автор жалуется на невкусный кофе, который ему продали в магазине."
290,"Заказала 2 пиццы. И соусы Хайнц сырный и барбекю. Сырный нормальный, а доминос свой положили, вместо хайнца, и срок годности вышел у него(не соус,а застывшее желе какое-то). Пиццы на кукурузной муке что ли? Сыпятся крошки, невозможно 🙄 больше не закажу здесь 😠"
291,Кофе здесь отвратительный. Два раза брала здесь кофе и два раза его вылила.
292,Автор жалуется на слишком долгую отдачу блюд и просит руководство обратить внимание на это и предупреждать гостей при посадке о долгом ожидании.
293,"Автор жалуется на то, что в заведении почти никого не было, но при этом чебуреки ждать 30-40 минут. Пообедать невозможно все ждать долго."
294,"Не свежие пирожные, вкус как будто с колбасой стоит всё, то что со скидкой 30% надо выбрасывать уже,жевать невозможно. Но самое то, что постоянно дурят по цене, каждый раз 50-60 рублей."
295,"Автор жалуется на то, что в его деревне открылось заведение, которое не соответствует его ожиданиям. Он хочет, чтобы заведение продолжало развиваться и улучшать свой сервис."
296,"Автор жалуется на качество салата цезарь с креветками, который он заказал в этом пространстве. По его мнению, салат был приготовлен с нарушением технологии, что привело к недостаточному количеству ингредиентов и горчинке в салате. Кроме того, он также отмечает негативное отношение к нему со стороны девушки за кассой."
297,"Автор жалуется на то, что ему не дали нормальную крышку с дозатором и налили горячий чай, который невозможно пить за рулем."
298,"Автор жалуется на то, что ему не принесли заказанный цезарь в течение часа после того, как он сделал заказ на бизнес-ланч."
299,"Автор жалуется на качество матча на безлактозном молоке и ролла с курицей, которые он заказал в этом кафе. Он утверждает, что матча была как вода со вкусом молока, а ролл весь пропитался соусом и испачкал ему всё сиденье машины."
300,"Автор жалуется на то, что персонал не здоровается и перепутал ценник на чизкейки."
301,Автор жалуется на грязную еду и высокие цены в столовой.
302,"Автор жалуется на то, что он не смог сделать онлайн заказ из-за плохого понимания со стороны девушки, которая принимает заказы. Она не ответила на его сообщение и не сообщила ему о внесении предоплаты за торты."
303,"Автор жалуется на то, что хозяин пиццерии ведет себя нетрезво и хамит клиентам. Он также выражает разочарование и досаду из-за потери постоянного клиента."
304,Автор жалуется на низкую клиентоориентированность в данном заведении.
305,"Автор жалуется на то, что кофе Айзирек и Нурмухамед готовят не так, как в других кофейнях рядом с Белорусским вокзалом."
306,"Автор жалуется на несвежие пирожные в кафе, где он ждет ребенка с занятий."
307,"Автор жалуется на персонал кафешки, а именно на его вежливость, культурность и быстрое обслуживание. Он отмечает, что персонал поднимает настроение после тяжелой рабочей смены на весь день."
308,"Автор жалуется на качество пирожных в недавно открывшихся ""Хмельницких"" возле рынка Дельта. Он считает, что пирожные были сухими и старыми, а пончик был неплохим, но 500 рублей были потрачены зря."
309,"Автор жалуется на то, что его утро было испорчено из-за громких звуков, которые издавали сотрудники кофейни, вешая одежду."
310,"Автор жалуется на плохое качество блюд в новом кафе Диннерия. Он описывает, что принесли ему и его подруге, и выражает надежду на внесение изменений в подачу блюд и само меню."
311,"Автор жалуется на перехваливание меренгового рулета и Наполеона, а также на то, что круассаны были вчерашние и не такие, как из духовки."
312,"Автор жалуется на то, что кафе не является христианским антикафе. Он также указывает на отсутствие крестов на Библии и отсутствие имени Господа на ней. Кроме того, автор отмечает отсутствие музыкального сопровождения в кафе и плохое качество кофе и еды."
313,"Автор жалуется на качество кофе и чизкейков, а также на длительное ожидание в очереди."
314,"Автор жалуется на то, что персонал кафе плохо обслуживает, ассортимент не ориентирован на детскую аудиторию, качество выпечки среднее, цены как в любом кафе в парке, а также на плохое качество воды, морса и стаканов для выносной продукции. Автор также предлагает улучшить ассортимент и улучшить санитарные условия, чтобы привлечь больше клиентов."
315,Автор жалуется на салат Буратта и суп Том Ям.
316,"Автор жалуется на качество блинов в сети кофеен. Он считает, что они резиновые и невкусные."
317,"Автор жалуется на то, что Кики, его лучший бариста, делает недостаточно вкусный кофе."
318,"Автор жалуется на то, что в кафе невозможно провести деловую встречу из-за негостеприимного отношения персонала."
319,"Автор жалуется на то, что в кафе нет места для девушек."
320,"Автор жалуется на отсутствие клиентоориентированности у некоторых официантов, что перечеркивает плюсы Кафе."
321,"Автор жалуется на бариста Никиту, который показался ей грубым, невежливым, некомпетентным и неклиентоориентированным. Он оставил неприятное впечатление в общем и целом."
322,Автор жалуется на освещение в туалете в кофейне.
323,"Автор жалуется на плохое обслуживание в кофейне. Он утверждает, что бариста Евгения сделала ужасный кофе, забыла положить сироп, не поздоровалась и нахамила. Автор не рекомендует это место для посещения."
324,"Автор жалуется на отвратительный сервис в хлебнице на банановом, а именно на то, что кассир закатила глаза и цокнула, когда она брала латте на 13.03. Также автор отмечает частые ссоры между персоналом с утра. Автор просит провести беседу с сотрудниками."
325,"Автор жалуется на несвежий крем-суп из броколли, несъедобный драник из цукини, большое количество масла на креветках и сосисках, долгое ожидание скрэмбла и отсутствие тренинга по базовым основам бизнеса гостеприимства у обслуживающего персонала."
326,"Автор жалуется на хамское и отвратительное отношение продавца из отдела цветов, а также на то, что администрация магазина-кофейни не хочет налаживать качество работы персонала."
327,"Автор жалуется на то, что в кафе Карамель в Кинешме ему отказали в обслуживании и заставили заказать практически все меню, чтобы получить алкоголь."
328,"Автор жалуется на то, что персонал в ресторане очень неулыбчивый, часто неприятно обслуживает, не соблюдает подачу блюд и не спрашивает бонусную карту. Еда чаще вкусная, но иногда бывает просто шаром покати. Некоторые официанты не спрашивают бонусные карты, хотя автор часто здесь бывает из-за удобства расположения и хорошего детского меню."
329,"Автор жалуется на то, что продавцы-кассиры магазина в Омске не соблюдают правила продажи выпечки и не информируют клиентов о продукции, которая не похожа на классические варианты (в данном случае круассаны). Автор также требует от руководства провести инструктаж продавцов и сделать все для удобства клиентов."
330,"Автор жалуется на то, что еда готовится долго и мало, а также на грязную и вонючую сантехнику в туалете."
331,"Автор жалуется на долгое время ожидания, плохое обслуживание и отсутствие бизнес-ланчей и ужинов. Он также отмечает, что на столах были пыль и разводы от стаканов, а салфеток не предлагали и не приносили с приборами. Кроме того, автор отмечает приторную начинку шоколадных блинов и невозможность вычистить ее из блина."
332,"Автор жалуется на бармена и управление, а именно на подачу коктейлей и качество кофе. Он отмечает, что манго смузи был невкусным, сок грейпфрут с косточками и кофе, который готовили 30 минут, были приготовлены неправильно и не соответствовали ожиданиям клиентов. Автор также выражает свое недовольство тем, как были учтены его замечания и что его претензии не были приняты во внимание."
333,Автор жалуется на постоянные проблемы в работе кафе.
334,"Автор жалуется на то, что его заказ тортов на ДР не был заказан, так как все 6 попыток оплаты оказались неудачными, а кассир сказала ""оплатите при получении"". Из 6 оплат по 4 деньги вернулись, по 2 так и висят в выписке."
335,"Автор жалуется на то, что его заказ не был доставлен вовремя, и ему пришлось подойти для выяснения ситуации и отмены заказа. Кроме того, выяснилось что часть заказа была отправлена людям, которые пришли позже. В целом, автор выражает благодарность сервису за ""подправленное настроение""."
336,"Автор жалуется на то, что персонал кафе встретил его недовольной теткой, которая всем своим видом показывала, как ей не хотелось его кормить. Он считает, это портит репутацию кафе и в следующий раз он может не захотеть туда идти."
337,"Автор жалуется на ужасное состояние кафе, игнорирование официантами посетителей, грязь на столах, отсутствие меню, долгое ожидание и постоянные ошибки в обслуживании."
338,"Автор жалуется на низкий уровень сервиса в кафе. Он описывает, что ожидание меню заняло более 10 минут, а после того, как его принесли, никто не подошел и не помог с заказом. Автор также выражает свое недоумение по поводу работы официантов."
339,"Автор жалуется на то, что он заказал флэт, но получил что угодно, кроме флэта. Часто ему наливали в молоко остатки кофе, который остался после приготовления кому-то другому. Автор не рекомендует эту кофейню, так как рядом есть другие кофейни."
340,"Автор жалуется на персонал кафе «Шоколадница», который, по его мнению, является «кучкой бездельников с вечно недовольным выражением лица». Он отмечает, что повара работают без головных уборов и с распущенными волосами, бухгалтер занята своим внешним видом, а заказ ждали 45 минут."
341,"Автор жалуется на то, что бармен в баре сделал ему смузи с таким видом, будто он ненавидит весь мир и всё ему это максимально достало. Он сделал коктейль небрежно, одним шлепком, как не коктейль наливает, а помои выливает. Автор попробовал: безвкусная несладкая жижа льда"
342,"Автор жалуется на то, что рядом с заведением живут два бездомных хвостатых друга и руководство их не выгоняет."
343,"Автор жалуется на то, что кофе в последний раз был не айс, а девочки официантки суровые и неприветливые."
344,"Последнее время стало хуже. За косяки не извиняются. Сегодня продали всё какое-то супер невкусное, а печенье вообще каменное, невозможно было откусить. Я даже руками с трудом разломал"
345,"Автор жалуется на то, что в шу шу посещают в основном гомосексуалисты, так как учредитель таковым сам является, во вторых дорого для токого города, в третьих грязновато и шумновато."
346,"Автор жалуется на то, что в ресторане нет мест для посадки, рассчитанных на разное количество гостей."
347,Автор жалуется на дороговизну и отсутствие вкусной выпечки и десертов.
348,"Автор жалуется на то, что цены в кафе выше, чем в других местах, и что одно блюдо в контейнере стоит как полный обед в столовой."
349,"Автор жалуется на то, что его не предупредили о времени открытия и не предложили заранее выбрать кофе на вынос. Он также выражает недовольство отсутствием информации о графике работы в интернете и на входе."
350,"Автор жалуется на то, что порция супа солянка была очень маленькой, а осетинские пироги не очень вкусными."
351,"Автор жалуется на отсутствие еды, унылую обстановку и неухоженный вид заведения. Он также отмечает, что температура в заведении выше нормы, а за спиной сотрудника не очень чисто. В целом, автор не рекомендует это место для посещения."
352,"Автор жалуется на то, что в кафе ""Френсис"" забыли про борщ и пришлось идти в соседнюю точку на фудкорте, где суп с хлебом стоит 103 рубля, а два черных чая + три пирожка = всего 191 руб."
353,"Автор жалуется на то, что цены в кафе космические, а также на ужасное отношение к клиентам, когда у них забирают заварку из чайника, чтобы они не попросили кипятка лишнего."
354,"Автор жалуется на то, что хот-дог, который он заказал в кафе 8 марта 2023 года, был невкусным и холодным. Он также выражает недовольство обслуживанием и персоналом кафе."
355,"Автор жалуется на отсутствие сервиса в кафе, игнорирование просьб протереть заляпанный предыдущими гостями стол официантами и пренебрежительное отношение девушки в фирменном фартуке к посетителям."
356,"Автор жалуется на ужасное заведение, давно исчерпавшее себя. Он утверждает, что кухня плохая, сервис отвратительный, а чай несут 25 минут."
357,"Автор жалуется на то, что в меню написано «при заказе 2-х коктейлей, 3-й в подарок», но на самом деле это не так. Он заказывает 2 коктейля, а третий ему не дают. Официант объясняет это неправильным заказом."
358,"Автор жалуется на высокую цену за кофе и пирожные, а также на калорийность десертов. Он также отмечает, что на оф. сайте кондитерской нет информации об их составе и калорийности."
359,"Автор жалуется на то, что столкнулся с не клиентоориентированным, наглым и некомпетентным персоналом, в частности - со Светланой, которая предложила ему украсить торт ягодами, не предупредив о повышении цены. Вместо того, чтобы решить эту проблему в пользу клиента, Светлане было предложено испечь другой торт (+-2 часа), либо смахнуть ягоды и платить 2160₽."
360,"Автор жалуется на грубость кассира, отсутствие информации об акциях и предложениях, неопрятность второй девушки за прилавком и ее распущенные волосы. Он просит руководство обратить на это внимание."
361,"Автор жалуется на уровень сервиса и хамское отношение обслуживающего персонала в кофейне, где она заказала два молочных коктейля с маленьким ребенком."
362,"Автор жалуется на то, что ему не удалось купить напитки в магазине в указанное время, так как касса была уже закрыта."
363,"Автор жалуется на то, что официантка и бармен были заняты разговором и не обратили внимания на заказанный кофе и десерт. Они также были недовольны, когда автор напомнил о себе."
364,Автор жалуется на хамство персонала и низкие цены в придорожном кафе.
365,"Автор жалуется на плохое обслуживание в кафе. Он отмечает, что пончики заканчиваются, чебуреки ждут 20 минут, а новую партию пончиков делать некому. Кроме того, напитки все остыли, так как новый коллектив не может работать оперативно."
366,Автор жалуется на тормозное обслуживание и создание очередей в ожидании пончиков.
367,"Автор жалуется на то, что еда в ресторане вкусная, но дороговата. Он также отмечает интересный подход к подаче блюд и интересные истории о них. Однако автор отмечает некоторые недостатки в обслуживании, такие как невнимательность и отсутствие уважения к клиентам."
368,"В данном отзыве автор жалуется на то, что ему пришлось сделать возврат средств за 1 стакан морковного фреша, который еще не поступил, так как соковыжималка на точке не работает должным образом и сок приходится ждать слишком долго."
369,"При отложенном заказе через Телеграм могут начать выполнять его при виде клиента... Говорят, что программа не срабатывает..."
370,"Автор жалуется на медлительных и грубых сотрудниц, а также на то, что кассир Кира игнорировала клиента и принимала заказ неохотно. Кроме того, автор отмечает постоянные забывания салфеток и плохую свежесть выпечки."
