,Отзыв
103,"Продавец крайне недоброжелательно относится к покупателям! Может у неё плохое настроение было?! В очереди было всего три человека, а она настолько была недовольна, как будто мы пришли внезапно к ней на кухню и требовали чего-то сверхестественного!!! Настоение испорчено на целый день! И круассаны, кстати говоря, не очень... Ребёнок сказал, что обычные(Царь-хлеб) вкуснее😁"
104,"Собираюсь открыть кафе рядом и назвать его ""Прекрасная зеленая2"". Также можно? Не могу никак попасть к ним на бизнес ланч. Всегда занято. Люди, если вы читаете это сообщение, если у меня не получится открыть что-то подобное, ввиду отсутствия времени, откройте такое же кафе. Поток людей на этой улице уже налажен. Толпы ходят есть к ним. Потому что хочется иногда зайти и все-таки найти место. 😀вкусно готовят."
105,"Потрясающее меню завтраков. На выбор больше 10 сетов- пп завтрак, английский, турецкий, французский и тд. Потрясающая, лучшая в Дагестана, кураговая каша. Вкусный кофе. Вид на море. Открыты с 7 утра. Все это делает кафе лучшим местом для завтрака!"
106,"Еда отличная, чай вкусный, но официанты - ужас. Вечно с недовольными лицами, из телефонов не вылезают, говорят с таким тоном, будто им кто-то что-то должен. Уж простите, но у меня от таких даже аппетит пропадает, ничего заказывать не хочется. Увольте этих вечно недовольных детей и наймите нормальных работников!"
107,"Зал пустой, заказ ждали минут 25 (даже кофе и сок), принесли холодный сендвич (яйцо будто из холодильника), затем разогрели до кипятка… видимо, чтобы больше не просили, через пять минут принесли сырники, которые все это время «готовились», и принесли их конечно же холодные… это такой прикол??? Либо шутки кухни, либо официанту все равно, что заказ ждёт. Состояние туалета тоже оставляет желать лучшего. И это такой уровень в центре. Звезду добавила за сырники, действительно вкусные. Не портите впечатление о сети кофеин."
108,"Ставлю 3 звезды только за то что работник помыл руки перед приготовлением . Шаурма маленькая приплюснутая , соуса не какие не вкусно ! . Не советую ! Рейтинг накручен !"
109,"Пришли мы значит в «Кофе Хауз». Сто лет там не были. В меню данного заведения черным по белому написано: «вареники с картошкой, подаётся с луком фри и сметаной». Заказала. Мне принесли вареники с картошкой и грибами. На мою изначальную претензию молодой человек, работающий в данном заведении официантом, поохал, поахал, что мол не знает, как так получилось, у них блюдо должно быть только с картошкой. Спустя пять минут вернулся и заявил, что да, вареники с картофелем и грибами, что если бы я (внимание), уточнила бы этот вопрос, то он бы мне об этом сообщил. А так они не причем вообще, такой рецепт. Все претензии к сети. А ничего так, что для некоторых грибы сильнейший аллерген? Хотите, чтобы кто-нибудь коньки отбросил у вас за столиком? Зашибись сервис, конечно. Десять лет не ходила и больше не пойду."
110,Это походу не совсем законная торговая точка. Которую установили по знакомству с кем то МФЦ. Это МФЦ должно было там вход и выход сделать а не кофе устанавливать. И куда Собянин смотрит?
111,"Сказать не понравилось, ни чего не сказать, взял американо пить не возможно, хотя пока там были поток людей удивил. Но для себя решил что в эту сеть ни ногой !!!"
112,"Бронируя столик в зале курение,предполагается что там можно курить,если бы я не хотела курить Я бы забронировала столик в другом зале Неужели нельзя было уведомить об этом хотя бы на этапе бронирования, после было вверхом маразма пшикать аэрозолем рядом с человеком который кушает Заказывая пасту с лососем.Я хочу получить пасту с лососем,а не пасту с окунем, на что я могу рассчитывать в следующий раз заказывая пасту, на пасту с консервами? Спасибо за испорченный вечер."
113,Добрый день. Приехали в город Когалым с ребёнком. Стояли 10 минут на входе подошли 2 официанта сказали ждать администратора. Ждали ещё минут 5. Подошёл администратор и очень грубо нам ответила что мест нет. Обслуживание ужасное.
114,"бариста приятный молодой человек, все рассказал про свой кофе и приготовил его очень вкусно! интерьер в кофейне просто отпад!!! музыка приятная, жаль что не фонк:( буду сюда ходить еще!"
115,"Чисто и относительно уютно. Еду пробовать не стал, потому как персонал в этот день был не особо клиентоориентирован - я рассматривал продукцию несколько минут, сотрудники это видели, но ни один не предложил как-либо помочь в выборе. При том что ценник достаточно завышен. Больше ни ногой"
116,"Место приятное, но обслуживание оставляет желать лучшего. Официанты долго не убирают столики за другими клиентами, пришлось самой искать сотрудника и просить освободить стол. Затем ну очень долго пришлось ждать, пока подойдёт официант и принесёт меню. Официант, тот самый, которого я попросила убрать стол, вообще намеренно игнорировал моё присутствие. Смотрела отзывы, было много негатива по поводу обслуживания, хозяевам заведения, видимо, всё равно, раз ничего не меняется на протяжении времени. Больше приходить сюда не хочется."
117,"Зашли. Никого не было. Подождали. Никто не появился. Пришлось покричать немного,есть ли кто. В итоге бариста зашёл в кафе со словами,что ему нужно было отойти... Кофе по вкусу очень средний. Попросили добавить карамель и корицу, бариста просто этого не сделал, а деньги взял. Кофейня совсем не впечатлила, больше заходить не будем."
118,"И вроде все хорошо и удобно, но больше я туда не приеду. 13.04.23 в 22.26 Час пик, простоял очередь 1. Может быть для того чтоб сократить время на очередь, мойщики подгоняют машины вплотную, так что валики просто не помещаются в перейди. 2. Начал снимать на видео как валик пройдет передок что не видно стало из-за мыла но вот по капоту и лобовому стеклу он вообще не прошел !!! Около 5см было расстояние. И второй за ним тоже так же не дотронулся до машины. Фото 1 с видео смотрим Ладно, думаю, может глюк какой, такого не было ни когда. Выезжаю, смотрю авто, капот грязный ! Побокам тоже грязь. Подходу к менеджеру, так и так как быть ...? А он говорит - у вас машина жирная !!! Я делал обезжиривание около месяца назад и неделю назад у вас же мылся, все было норм... Нет, грит, вам надо обезжирить, но предложил прокатить еще раз в мойке. Спорить не стал. Поехали. И второй раз когда меня очень требовательно махали чтоб я вплотную подъехал к впередиидущему авто, выдержал расстояние. И о чудо !! Все валики нормально отработали !! См фото 2. Тоже видео снято и в замедленной съемке. Выезжаю - чисто .. Ну почти все хорошо на 95% что уже не критично. Подъезжаю к кафе, а там еще одна машина стоит и тот же менеджер как заклинание - обезжиривание ...!!! Вот вопрос ! - вы правда думаете, ваши клиенты такие глупенькие и им можно втирать небылицы ? Очень жаль что ваши техники не обслуживают оборудование должным образом! И вчера это был последний раз когда я заехал сюда. Лучше переплачу где-то но из меня не будут делать дурачка.."
119,"Пошли в это место специально для того, чтобы познакомиться с национальной кухней, т.к. начитались отзывов. Взяли 5 блюд: салат с копчёной свинной грудинкой и печеными овощами, марийские блины с мясом, пирог блинный с овощами и грибным соусом, подголики с мясом кабана и медовые шарики. Из всех блюд понравилось только 1 (блинный пирог). Он был сочным, было понятно как его есть, вкусный, а соус насыщенный. Салат с копчёной грудинкой разочаровал. По факту это что-то на подобии винегрета с мясом, к чему там кольцо из слоёного теста, как его есть? Не понятно. По поводу подголиков. Из-за того что мука ржаная, тесто жестковатое и вкус кабана - на любителя. Я бы сказала, очень на любителя. Потом были блины с мясом. В меню обещано, что блины с сочным мясным фаршем. Ага. Сочностью там и не пахнет. Да мягкие, но сухие и безвкусные. Я надеялась, что хотя бы десерт порадует. Но по факту это пончики, в виде шариков в мёде. Надо их делать меньше по размеру, т.к. на один укус они многовато и поэтому опять же приходится ситдеть жевать тесто, которое тоже суховато. Хотя мед вкусный. Обслуживание. Мы ждали офицанта, чтобы приняли заказ минут 20. Хотя мимо нас ходили другие офицанты, но никто не поинтересовался, готовы ли мы сделать заказ. После того, как я привлекла внимание администратора, к нам подошёл офицант. К дальнейшему обслуживанию вопросов нет. Все быстро и четко. Блюда ждали минут по 10, все приносили по готовности. Обстановка самого трактира очень приятная. Есть столы на двоих, четверых и более посетителей. Играет ненавязчивая музыка. Посетители друг другу не мешают."
120,"Несколько лет назад бывало даже на дом из бора-бора кафе доставку заказывали, было всё хорошо. Сегодня днем была с детьми, и впечатление очень плохое. Брали 2 супа разных и роллы вулкан. У супов уровень университетской столовой. Роллы вообще несъедобные. В ресторане есть малюсенький детский уголок. Ковёр черный от грязи, игрушки старые: какие-то поломаны, мягкие игрушки грязные, мелков для доски, которая там стоит, нет. Вряд ли придём ещё."
121,"Местное распиаренное место. Приехали на 2 дня в Суздаль и забежали ради интереса пообедать. Выбирали между 2 ресторанами и выбор по итогу был правильный - пойти в другое место. Заказал 2 салата: сельдь под шубой и салат со свеклой с вялеными томатами. ""Тяжелого"" совсем не хотелось. Эстетически блюда красивые, но зачем сверху сыпать черную перхоть, зеленый лук и ягоды (клюква вроде была). Любимый вкус перебивался+очень много майонеза как и присутствовало сомнение в его качестве. В свекольном салате вяленые перченые томатые наглухо перебили весь вкус, настолько острый, терпкий, есть просто невозможно, начинается изжога. Кроме того зал забит и постоянная очередь в туалет, видимо после этих салатов. Не рекомендуем."
122,"3.02.23 в 13:37 съела в данном кафе булочку с баклажаном и кофе Латте, Отравилась сильно((( Хожу туда постоянно, приятные девочки -кассиры, а тут Новый персонал( Так воот в кофе сахар не положили, пирожок в пакете принесли... Кофе выпила без сахара, хотя латте и без сахара вкусное, а тут прям стремное было( И вечером меня скрутило так, всю ночь меня тошнило этой булкой.., и не только.... больше туда ни ногой и буду дальше обращаться( Что за беспредел?! Чуть жизнь не отдала, тошнило каждый час... не советую данное заведение. И даже мусорки нет, куда можно после себя убрать !"
123,"Хотелось нормальный латте без добавок. Но по итогу кофе практически не было, от него лишь остался неприятный горький жжёный привкус. Но даже молоко было неплотно взбито и было сладким, будто добавили сиропы. Бариста никак не отреагировал на замечания, в его понимании все в порядке. Пришлось выкинуть,от такого нечто однозначно стало бы плохо"
124,"Посетили данное кафе с ребенком. Заказ приняли быстро, предупредили, что ждать 20 мин,в итоге 45 мин. Чай и суп принесли холодный (курин.лапша). Мята в чае была далеко не свежая. Вафли ребенку понравились, но когда попросили дополнительную тарелку, так и не принесли. Больше не пойдем("
125,"Очень мило, но больше не хочется :) Спойлер: очень жаль потраченных денег на кофе. И дело не в сумме или самих деньгах, а в возможности потратить их иначе (например, в другой кофейне). Всегда очень радуюсь, когда в нашем районе открываются новые места и это не было исключением. Внутри помещения чисто и уютно, интерьер стильный. Главное мега неудобство - это меню на телевизорах. Ребят, это шутка? В солнечную погоду, да и с плохим зрением (у большинства сейчас с этим проблемы) НЕВОЗМОЖНО увидеть, что написано тонким мелким штрифтом над баром! Спросила бумажное меню, его нет. Очень жаль, пришлось выспрашивать бариста. С горем пополам мы определились с напитком, т к я рандомно начала предлагать варианты, но их нет. Бамбл-кофе - нет, эспрессо-тоника - нет. Это простейшие и популярные в Москве позиции для жаркой погоды. Ну ок, давайте ваш авторский холодный кофе «соленый крекер» на соевом молоке. Long story short, кофе пришлось вылить после первого глотка, времени возвращаться и просить его переделать у меня не было. Это просто невкусно, хотя я уверена, что бариста старалась. Итого, добрая просьба к руководителям: 1. Пожалуйста, сделайте бумажное удобное меню. Очень некомфортно высматривать, что написано на телевизорах. Если хотите как в бывшем старбаксе, чтобы меню было на стене - делайте крупно, четко и контрастно. (P.S. у меня не минус 8, а к счастью, только минус 1 😊, но блики и качество изображения не оставили шансов). 2. Не нужно изобретать велосипед и пытаться выделиться на старте, смешивая разные сиропы и выдавая их за авторские напитки. Достаточно доехать в центр, посмотреть в популярных кофейнях топовые позиции (тот же бамбл или банальнейший эспрессо тоник) и научиться их делать по-хорошему из раза в раз. 3. Пробуйте, что предлагаете, некоторые сочетания определенно какая-то гремучая смесь. Ну и конечно, стандарты приготовления напитков никто не отменял, но это проблема многих кофеен в нашем районе. Надеюсь, мой отзыв поможет! Успехов!"
126,"Качество кофе оставляет желать лучьшего, за 165р купить стаканчик толи кофе толи молоко одно. По началу делали нормально, сейчас ужас. И зачем сливать с машинки половину кофе в стакан половину в отстойник. Наоборот надо бороться за то что бы люди ходили к вам так как на районе много кофейн, а получается толку от такого колличества кофейн, куда не сходи везде одно, МОЛОКО В МЕСТО КОФЕ 10.07.23 Что сказать, день нормально делают кофе, один день не очень, зависит кто работает в смене."
127,"Уютно, красиво… Но…. Пришли с детьми пообедать, расположились на летней площадке, девушка стояла и не предложила стульчик для кормления. Когда я нашла стульчик он оказался грязным, я начала его протирать влажными салфетками, хотя стульчик должен находиться в целлофановой пленке, помытым,так как он вообще один на площадку. Девушка стояла и видя как я с ребенком на руках протираю стул (я думаю это был администратор) не предложила помощь. За такие цены, я ждала хотя бы чистоту, не говоря уже о помощи 😂"
128,"Отвратительно. Грязь, обслуживание, лет 5 туда не ходили и ещё столько же не пойдём, коричневую водичку стыдно кофе называть, хозяину заведения видимо совсем на него наплевать. Старые десерты, тирамису вечно нет и его порция стала значительно меньше."
129,Ходила сюда 15 лет. С каждым годом всё хуже и хуже. Кассиры хамят в кассе не разбираться. Блюда ждать долго. Грязь кругом. Больше сюда не приду и всём знакомым скажу. Ещё и обманывают во всей сети и здесь.
130,"Тесновато. Неприветливые официантки- игнорировали нас. Ужасный салат с баклажанами. Среди 3 кусков торта Прага, один оказался старым на столько, что был без слоёв. Невкусные десерты, один оказался не свежим и вызвал неприятные последствия. Очень грязно. Стены в каплях, на пол лучше не смотреть ."
131,"Любим сюда с женой ходить завтракам. Я беру круассан с форелью и он не всегда качественный. То воды из него течет как будто я его выжимал, то сухая слишком рыба. И уже давно можно было бы заменить майонез на сливочный сыр, будет вообще шикарно."
132,"Спустя 15 минут ожидания никто даже не удосужился подойти и принести меню, с таким наплевательским отношением к клиентам ходить сюда желание пропало"
133,"Посетили данное заведение 15.01.23 Взяла большой капучино, пирожок с капустой, с картошкой и беконом, сладкая сдоба с яблоком. Цена достаточно высокие, место выглядит прилично. Именно поэтому, решили перекусить там. В итоге, кофе ужасен. Горечь и вкус, явно не на 200 руб. Пирожки не вкусные, просто никакие. Начинки практически нет. Вместо картошки и бекона, просто картошка и палки от укропа, стебли. Сьели, так как были голодны и в пути. В итоге через час, у всех началось вздутие, боли в животе. Всю ночь провели на белом друге с ребёнком. До сих пор, проблемы и дискомфорт. Ничего иного, ни до, ни уже после не ели. Однозначно не рекомендую к посещению. Плюсов никаких не увидела. Ужасное место."
134,"Отвратительный кофе, вкус как будто сигаретами пахло, заказали на кокосовом молоке, но вкус молока абсолютно отсутствовал. Добавлено 23 марта: Проходили мимо на прогулке и снова зашли в кафе, описали ситуацию выше, сказали, что нам обещали новый кофе) На что нам ответили - «ведь это была не наша смена, мы же не виноваты, приходите, когда будет тот работник, который сделал вам такой кофе»))🤦‍♂️"
135,"В первый раз в этом месте. Сделал заказ на большую семью. Хотели посидеть погреться. Но все места были заняты. Заметил, что у стены за стойкой молодые ребята просто играют в телефонах. Я был с маленькими детьми, решил не создавать конфликтную ситуацию с подростками. Обратил внимание сотрудника на выдаче. Он пожал плечами и ничего не предпринял. Только со второй попытки вышел человек и попросил их уйти. Не ожидал в наше время такого обслуживания. Ответ админу: Ваше непонимание понятно, если для вас большее количество клиентов не влияет на вашу фиксированную зарплату."
136,"Сижу сейчас в кафе. Заказала кофе и брускетт. Кофе жду минут 15 уже. При этом когда заказывала было два столика всего занято. Кафе полупустое. Спрашиваю официанта почему так долго кофе жду, подимает плечами и говорит не от него зависит. Размер брускетт спросила, говорит не знает, смотреть грамовку. Сервис отвратительный!!!"
137,Десерты не самые свежие( неудобное получение заказов в большую загрузку Но сам кофе довольно неплох!
138,"Несмотря на красивый интерьер, худшее заведение которое я посетила за последний месяц. При небольшом количестве народа наш заказ официантке куда-то испарился. Выпив 2 чайника чая наша компания из 4-х человек после 1 часа ожидания покинула это заведение и перешла дружно в грузинский ресторанчик. Сюда мы больше точно не вернёмся."
139,Салат «Цезарь» мы ждали целый час! Спросили у официанта - мы заказали что-то эксклюзивное? В ответ - непонятный набор слов… впечатление о посещении «Солнца Москвы» испорчено((( больше в эту кофейню не ногой.
140,"если хотите потерять своё время—приходите в эту шоколадницу. ожидание меню—7 минут ожидание официанта для принятия заказа—10-15 минут ожидание самих блюд—больше часа. официантка не предупредила, что придется подождать больше обыденных пятнадцати минут. одно блюдо принесли еле теплым, но мы решили уже не менять его, тк опять ждали бы непонятно сколько ожидание чая—полтора часа крайне не советую это кафе, просто потеряете своё время. были в нем 8 марта и можно было бы спихнуть это на выходной/праздничный день, но почитав отзывы станет ясно, что у них так постоянно"
141,"4 с минусом. Туалет это дичь просто. Если ты мужчина, встаешь к унитазу, то тебе в правое плече начинает дуть сушилка для рук. Ну и не только в плечо, как бы помогаю струе взять левее…. Вход по коду….. еще одни чудики с электронным кодом. А самое смешное что они чек тебе с этим кодом не дают…."
142,Очень посредственный кофе делают. Зерно дешевое скорей всего или бариста так себе.
143,"Не знаю кто пишет хорошие отзывы, но пицца полное дно, большая пицца весит меньше чем 500г хотя стоит больше касаря + на вкус неочень еще и бортики оставили из теста,хотя я заказывал без них"
144,"Брала вчера здесь кофе (17.07), бариста была с очень недовольным лицом, обслуживала как будто нехотя. Девушка отказалась делать на лунго и не предложила доп. шот (если конечно такая опция имеется), в напитке чуствовался только сироп и кофе был чересчур горький, по ощущениям эспрессо сожжен, будто настройкой помола они в принципе не занимаются. Очень неудобное меню, а точнее его отсутствие. Долго пришлось искать где цены и объемы, список сиропов так и не нашла, зато на телевизорах горела просто однотонная рекламка. Заказывала кофе который пью постоянно и пока что это худший вариант из тех, что я пробовала."
145,Самые невнимательные официанты да и весь персонал. Зал поделен на 2 части. Со стороны бара и со стороны мойки. Так вот во вторую часть зала официанты не заходят вообще. Можно сидеть и ждать пока принесут меню не меньше часа!
146,"Любим с женой посещать лучшие кофейни городов, выбирая их по рейтингу и отзывам. Приехав в Липецк посетили данную кофейню с рейтингом 4.9, заказали таёжный раф и сырный латте, к сожалению к кофе мало чего было, девушка бариста-официантка сказала, что часть меню отсутствует, в связи с этим решили взять кофе с собой и прогуляться по верхнему парку. Но каково было разочарование жены в сырном латте, хотя перед заказом мы расспросили состав и примерный вкус, который сильно отличается от описанных бариста - пить его невозможно, оказался очень солёным, пришлось выкинуть в первую мусорку. Таёжный раф был ели тёплым, на мой вкус слишком сладковат, что исправить уже нельзя. И ещё крышки были все треснуты, попросили заменить, вытащив при этом кусочек крышки с пены рафа."
147,"Шаурма: мясо очень солёное, овощей мало, и очень много соуса - слишком жидкая начинка."
148,"У меня сегодня был испорченный день рождения. Мы в это кафе ходили не один раз, было всё отлично. Сегодня были другие официанты и кассир. Мы ждали свой заказ час. Носили заказ по одному блюду. Никак не приносили нагетсы, мы спросили почему нет так долго нагетсов. Нам ответили что их уже приносили, мы сказали что вы нам не приносили. Обидно, что нас ещё и обвинили. Из-за этого мы решили отказаться от десерта. День рождения не удался."
149,"Почему бариста постоянно отсутствует на рабочем месте?Как ни приду,очень часто приходится стоять и ждать,когда работник прийдёт после своих «очень важных» дел,такое ощущение,что обслуживают не тебя,а ты,оказывая услугу в ожидании,так не должно быть!В самой кофейне постоянно чего-то не хватает,приходила с утра за кофе,хотела взять морковный торт,которого по какой то причине не было(хотя продукцию везде пополняют с начала рабочего дня )было досадно,слишком много таких косяков.Очень хочется,чтобы руководство обратило внимание на этот нюанс,а работники перестали быть такими безответственными по отношению к работе и в первую очередь к клиентам."
150,Выпить вкусного чаю и отведать пирожное - это сюда. Приятная чайная с хорошим обслуживанием. Любим собираться здесь девочками поболтать и поесть чего-то сладенького.
151,"В целом вкусно и хорошо, но кроме пиццы. Пиццу принесли с тухлыми огурцами ( попросили чтобы повар их выкинул и не траванул ни кого) и просто ужас реакция персонала - сообщили официанту тот просто принес извинения и все."
152,"Эти «легендарные» чебуреки посоветовали друзья. У них все было норм. У меня к сожалению нет. Тот, что в говядиной был с сырым красным мясом внутри (высокая кухня у вас такая??? Тар-тар внутри чебурека?) — есть конечно же не стала. Со свининой съела и под вечер заболел живот со всеми, простите, последствиями. В этот день ничего такого, что могло спровоцировать расстройство желудка, не ела. Есть или не есть в этом месте после такого случая — решайте сами."
153,"Полный кошмар !!! Ожидали с маленьким ребенком заказ - целый час!!!! Оплатили его!!!! А по итогу они даже не начинали его готовить!!!! Кассир начала кричать на нас , бросать в лицо деньги и оскорблять!!!!!!! Отношение - ОТВРАТИТЕЛЬНОЕ!!!!"
154,"Шоколадницу по этому адресу посетили 19.02.2023.Первый раз столкнулись с таким ужасным обслуживанием!!!Когда зашли никто из персонала не подошел, пришлось самим искать меню, когда выбрали пошла делать заказ за барную стойку.Ждали 2 круассаны целый час а кофе ещё дольше ,хотели уже расплатится за круассаны и уйти ну тут принесли кофе которое было холодное а ведь на минуточку «мокко вишня» 330 рублей, подчеркну холодный который пить не возможно и ожидание так долго что мы могли домой доехать и поужинать.За соседними столиками люди тоже возмущались.Когда мы предъявили претензии официант молчала. Не рекомендую.Обслуживание ужасное!!!"
155,"Очень плохо!!! Жалко нельзя поставить ""минус звезду"". Были в субботу сразу после 17 часов. Не сказала бы, что было много посетителей, но на зал, наверное 1 официантка. Сначала ждали меню, потом долго не могли сделать заказ, а потом 50 минут!!! нам не могли подать 2 фужера шампанского, кофе и десерт (наверняка готовый, выпекать не надо было эклер и ""сердце""). После выражения претензий, для ускорения обслуживание сорт шампанского заменили. Больше в ""Шоколадница"" ни ногой"
156,"Меня зовут Дарья Богатова. От лица компании ООО ""Бизнес Солюшен"" я хочу оставить жалобу на взаимодействие со мной, как с корпоративным клиентом, менеджеров и директора кофейни по адресу: Москва, ул. Большая Дмитровка, 7/5с1, Камергерский переулок. К сожалению, полный текст жалобы сюда не вмещается, поэтому сжато пишу о том, что менеджеры кофейни не знают порядков работы с корпоративными клиентами, директор не берет ответственности за проступки своих менеджеров, а у самой сети кофейни не нашлось сил и возможностей связаться со мной с начала марта 2023 и по сей день после срыва корпоративного обеда на 35 человек 5 марта 2023 года. Я оставляла жалобу по все электронным адресам, указанным на сайте, в ВК и Инстаграм. Впервые на нее ответили только в ВК и то спустя почти месяц, сообщив что со мной скоро кто-нибудь свяжется. Сегодня уже 26 апреля. Тишина :)"
157,"2 балла только за работу официанта и интерьер) к девочке претензий нет, интерьер крут. В ночь с 10 на 11 июня мы с подругой после смены(работаем в ресторанах) решили у вас отдохнуть и перевести дух после работы. Но выйдя из заведения были в шоке и врятли вас ещё посетим. Время было около 2 часов. Чрз минут 5 после нашего прихода в кофейню ввалились 2 молодых человека и начали по-свойски общаться с персоналом. 1 из них был в толстовке с логотипом компании. Крч явно свои) Бармен указал им на нижний этаж и они быстро туда направились, чрз несколько минут оттуда начали издаваться явные и очень громкие стоны женские и мужские. не знаю и знать не хочу что там конкретно происходило, но догадываюсь, и любой здравомыслящий человек тоже Хотя мальчиков хватило минуты на 3-4 на двоих, что как то грустно даже для них, ну да ладно) после оба поднялись довольные курить и получили кофе от бармена и продолжили мило общаться, девушка оказывается там таки была и тоже очень нетрезвая поднялась. Так вот. Во время всего этого действа персонал ходил с видом как будто это для ваших заведений обычное дело, типа так и надо, все хорошо у всех, никто даже не сделал замечание и тд. Только ходили и улыбались.Нам же было не очень приятно это слушать, да и не только нам. Если б это были левые гости был бы другой вопрос, это же были явно сотрудники направленные другим для этого действа. Так во всех ваших кофейнях происходит похоже. За 10 лет в общепите всякое видела, но такое это конечно жесть..."
