,0
590,"Автору отзыва понравилось, что в кофейне вкусные пончики и кофе, а также приятная атмосфера. Он также отметил быстрое обслуживание и приветливых сотрудников. Однако, автор выразил сожаление по поводу смены бариста-итальянца на продавца-ближнекавказца."
591,"Официанты вежливые, интерьер приятный, цены как цены, еда вкусная. Рекомендую торт ""Опера"" - для меня это находка ❤️ Заходили с друзьями, отличное кафе. Все десерты выглядят нереально красиво, а какой у них вкус… Я буквально влюбилась в кекс красный бархат. Менеджер Маргарита очень приятная и приветливая девушка! Обслужила нас на высшем уровне. Я считаю, что ее нужно премировать. Обязательно вернёмся!"
592,"Автору отзыва понравилось, что кафе отличное, все очень вкусно, красивая подача! Хорошее обслуживание!"
593,"Автору отзыва понравилось уютное кафе с диванчиками, демократичные цены за вкусную еду и возможность взять настолки для игр. Он также отметил удобное расположение от метро и интересный интерьер."
594,"Автору отзыва понравилась работа двух девушек по имени Аня, которые помогли не только с выбором слоек, но и приготовили очень вкусный кофе. Также автор отметил вкусную выпечку и десерты, достойный кофе и стильные тортики. В целом автор остался доволен посещением кофейни ""БУШЕ""."
595,"Меню не очень разнообразное порой даже затрудняешься что-то выбрать. Еда свежая вкусная, но порции не сильно большие, а цены уже начали Кусаться. Персонал приветливый, отзывчивый. Удобно, что есть детская комната, можно приходить с детьми. Приятная атмосфера, быстрое обслуживание, вежливый и ненавязчивый персонал, вкусные напитки (кофе, чай), понравились и десерты. Рекомендую к посещению."
596,"Автору отзыва понравилось, что в пекарне Coffee Home всегда вежливые и приятные бариста, а также большой выбор десертов. Атмосфера уютная, можно посидеть с друзьями или одному, чисто и приятно. Добродушная леди подсказала где в Тихвине найти большие торты и приготовила очень бодрый и вкусный кофе."
597,"Автору отзыва понравилось, что внутри место выглядит очень приятно: красивый интерьер, теплое освещение, довольно много места. Персонал очень приветлив и готов ответить на любой вопрос. В меню представлено достаточно блюд: мы решили взять несколько разных, чтобы попробовать побольше и сравнить. Все блюда нам понравились! Также в ресторане (видимо по выходным) выступает девушка с танцем живота. Отличное кафе! Вкусная шаурма и кофе! Добрые бариста. 😁 вкусно, недорого,"
598,"Автору отзыва понравилось:

1. Разнообразное меню, идея трех видов супов в большом объеме, что хорошо как для семьи, так и для небольшой компании до 5 человек.
2. Удобство вызова персонала кнопкой, администраторы и официанты приветливы."
599,"Автору отзыва понравилось, что в ресторане русской кухни в самом центре Костромы есть приятный интерьер, очень приятный персонал и просто божественная кухня. Меню очень хорошо проработано, в блюдах все сочетается между собой. Можно даже взять самовар чая с баранками, но это 1.5 литра. Хорошая альтернатива понтовым и дорогущим ресторанам в Костроме."
600,"Автору отзыва понравилось, что в ресторане ""Самовар"" вкусная еда, приятный персонал и обходительное обслуживание, а также уютная атмосфера и доступные цены."
601,"Отличное место! Безумно вкусная еда, замечательный персонал! Атмосфера в общем очень понравилась! И по цене очень даже недорого!!! Отличное заведение! В будни немноголюдно, стол не бронировали, зашли пообедать- выбрали по меню борщ, ух..."
602,"Автору отзыва понравилось, что в кафе есть хороший выбор блюд и напитков, живая музыка, просторный и уютный зал, вежливый персонал, вкусная еда и быстрое приготовление блюд, а также наличие детского уголка."
603,"Автору отзыва понравилось, что бар работает до 23-00 и принимает заказы, несмотря на завышенную цену. Он также отметил,что в баре подают хороший выбор напитков и хорошее приготовление, а также есть алко. Автор также положительно оценил континентальный завтрак и вкусную выпечку. В целом, автор остался доволен посещением бара."
604,Не понравилось: отсутствие брускетты и бутербродов с дешевым хлебом.
605,"Автору отзыва понравилась вкусная и качественная еда, атмосфера, соотношение цены и качества, а также разнообразие напитков и приветливый персонал. Он также отметил уютную кофейню с очаровательными напитками и выразил благодарность баристу Ангелине за поднятие настроения."
606,"Автору отзыва понравилось, что в кофейне уютная атмосфера, есть возможность зарядить телефон, вкусный кофе и пицца, вежливый персонал, особенно девушка-бариста, которая делает лучший фраппе. Он также отметил,что круассан не самый вкусный, но кофе рекомендует. В целом, автор остался доволен посещением кофейни."
607,"Автору отзыва понравилось, что интерьер кофейни современный со вкусом, с нотами аварской культуры, а также европейские блюда, такие как горячий хумус, вкусный соус дзадзыки, горячие лепешки, прекрасный сладкий зеленый смузи и домашние сырники. Кроме того, автор отзыва остался доволен завтраком с хумусом и английским завтраком, где вместо заявленной говядины была курица."
608,"Автору отзыва понравилось, что в кофейне необычная тематика с символом города Мишкой, вкус кофе и качество на высшем уровне. Он также рекомендует попробовать РАФ с кокосовым сиропом, так как считает его чудесным вкусом. Автор отзыва отмечает приветливый персонал и вкусное кофе, приготовленное профессионалом своего дела - Полиной."
609,"Автору отзыва понравилось хорошее меню, вкусная еда, уютный зал и наличие детской зоны. Не понравилось долгое ожидание заказа и отсутствие обслуживания официантом."
610,"Автору отзыва понравилась уютная обстановка, радушное и компетентное обслуживание, выбор кофе и чая, вкусные блинчики и напитки на разные вкусы, удобное месторасположение, уютный зал и приятное освещение. Он также отметил, что девушки помогли определиться с выбором кофе, рассказав все тонкости вкуса каждого напитка. В целом, автор оценил заведение на 4 звезды из 5 возможных."
611,"Автору отзыва понравилось внимательное и приветливое обслуживание, вкусный кофе и наличие парковки рядом с заведением. Он также отметил, что елка в марте месяце его смутила, но это не помешало ему получить удовольствие от посещения кофейни."
612,"Автору отзыва понравился кофе и выпечка, большой выбор напитков, хорошее зерно и оборудование, уютное место и новый вид чая. Он также отметил, что ценник на кофе как в центре Москвы и несвежие торты могут отпугнуть посетителей. Однако, автор также выделил вкусную овсянку с вялеными томатами и моцареллой."
613,"Автору отзыва понравилось, что в кафе хорошая кофемашина ""Павони"", хороший эспрессо и американо, персонал приветливый и вежливый, меню отличное и вкусно готовят, цены приемлемые и главное вкусно, большие удобные диваны, а также уютная атмосфера и большой зал."
614,"Автору понравилось, что в ресторане разнообразное меню и адекватные цены, а также вкусная еда и выгодные цены на завтраки и обеды. Он также отметил вкусные морсы и дизайн кафе. В кофейне автор отметил приветливых девочек-бариста, вкуснейший Матча можжевельник-грейпфрут и крутой интерьер. Единственный минус - это падающие вешалки, но он легко решается кладением верхней одежды на кресло."
615,"Автору отзыва понравилось, что в кофейне есть уютная атмосфера, вкусная еда и приветливый персонал. Он также отметил хорошее обслуживание и доступные цены."
616,"Автору отзыва понравилось, что в кафе есть большой выбор кофе и чаёв, а также сытные завтраки. Атмосфера уникальная, душевно уютно и по-домашнему. Персонал всегда на высоте. В кафе вкусный кофе, приготовленный по различным технологиям, приятный интерьер и десерты для сладкоежек."
617,"Автору отзыва понравилось, что в кафе можно выпить хорошего кофе и съесть вкусные пирожные, девушки приветливые и кафе уютное. Он также отметил, как дует кондиционер и что пиццы привезли холодные и все покрытые горчицей. Однако автор также указал на некоторые недостатки, такие как сломанная туалетная дверь и низкая посещаемость."
618,"Автору отзыва понравились вкусные блинчики, особенно блинчик Филадельфия, отличный кофе и приветливый персонал. Он также отметил, что это милое место для перерыва на кофе, где можно отведать десерты и выпить чашечку волшебного кофе."
619,"Автору отзыва понравились вкусные горячие бутерброды и кофе, большой выбор для перекуса, внимательный персонал, приятная атмосфера, чистота и быстрое обслуживание. Он также отметил разнообразие выбора вкусного кофе и чая, кондитерскую выпечку на высоте, уютную атмосферу заведения, вкусную пиццу, доставку или самовывоз, бонусную систему, молочные коктейли и вкусный кофе."
620,"Автору отзыва понравилось, что кафе красивое и уютное, еда вкусная и разнообразная, персонал приветливый и отзывчивый. Он также выразил недовольство недоваренным яйцом пашот и недостаточно насыщенным лимонадом."
621,"Автору отзыва понравилось уютное место, разнообразный выбор кофе, вкусный чай и можно по легкому бюджетно перекусить. Персонал приветливый, в целом все понравилось. Хорошее место. Официанты старательные. Ходили два раза сюда на завтрак. Готовят вкусно. Если прийти к открытию, будет не очень много людей. А так место довольно людное и шумное, на мой взгляд. Музыка громкая. Кофе дороговат, но на пляже всегда цены высокие."
622,"Автору отзыва понравилось, что здесь вкусный кофе и десерты, приятная атмосфера, сотрудники доброжелательны и позитивны, а цены демократичные. Он также остался доволен обслуживанием и порекомендовал это место другим."
623,"Автору отзыва понравились вкусные круассаны, кофе и атмосфера ностальгии в парке. Он также отметил дружелюбный персонал и большой ассортимент напитков."
624,"Автору отзыва понравился вежливый персонал, приятная атмосфера внутри, помимо различных кофейных напитков есть чай, коктейли, перекусы, десерты. Он также отметил, что здесь приятно и поработать, и просто отдохнуть в дружеской атмосфере. Отдельное спасибо за кофе идеально комфортной температуры."
625,"Автору понравилось, что в кофейне есть большой выбор напитков, вкусные булочки синабоны, уютная обстановка, оперативная работа сотрудников. Он также отметил приветливый персонал и удобные места у окна для перекуса. Однако, автор не остался доволен тем, как студия йоги в парке Царицыно исполнила его мечту попробовать йогу в гамаках. Вместо скидки 70% на пробное занятие он получил только 500 рублей."
626,"Автору отзыва понравилась вкусная еда, авторские рецепты, гостеприимство официантов и оформление внутри кафе. Он также отметил, что ожидание еды может быть долгим, но это является единичным случаем."
627,"Автору отзыва понравилось, что в кафе готовят быстро, блюда вкусные и относительно недорогие, выбор достаточно большой. Он также отметил хороший шашлык и фирменный соус к нему, а также разнообразие первых блюд и пельменей. В целом, автор остался доволен посещением кафе и рекомендует его другим."
628,"Автору понравилось, что в Plump coffee тихо, уютно, светло и атмосферно. Он попробовал вкусные сырники с облепиховым соусом и кофе фреш, а также авторские решения, такие как Сникерс латте. Внутри приятная атмосфера, ненапряжная музыка, мягкие диванчики. Администратор Алёна всегда очень отзывчива и помогает настроить свет. Студия очень светлая, уютная интерьер и хорошее оборудование. В такую студию хочется возвращаться снова и снова."
629,"Автору отзыва понравилось, что в кафе есть хороший кофе и вкусная выпечка, а также приветливый персонал, который помогает с выбором и угощает бесплатным кофе. Он также отметил,что кальянная предлагает вкусные кальяны и разнообразный выбор табака. Кроме того, автор отметил наличие снэе-бара и возможность оплаты всеми доступными способами. В целом, он остался доволен посещением кафе."
630,"Автору отзыва понравилось, что в кофейне есть столики и можно кушать на месте. Он также отметил вкусный малиновый чай и идеальный капучино с правильной температурой, хорошей пеной и великолепным вкусом. Кроме того, автор отметил наличие фильтра для воды и работающий кондиционер."
631,"Автору отзыва понравилась уютная кофейня с вкусным кофе и пирожными, авторский интерьер, приятная негромкая музыка, наличие удобного диванчика и розеток, виниловый проигрыватель и коллекция пластинок. Он также отметил качество продуктов и профессионализм бариста Давида, который готовит вкуснейший кофе в районе."
632,"Автору отзыва понравилось, что в кафе вкусные завтраки и паста, десерты без сахара и глютена, а также доброжелательный персонал и минималистичная обстановка. Он также отметил качество кофе и десертов."
633,"Персонал работает отлично и быстро. В санузлах и кофейне чисто. Цены приемлемые. Блинчики принесли почти холодные. Разогревайте,пожалуйста"
634,"Автору отзыва понравилось уютное и приятное кафе, с замечательным персоналом и вкусным кофе (всем советую попробовать раф малина-шоколад). Он также отметил, что здесь можно взять паурбанк, а цены ниже рынка, но уж точно дешевле, чем на самой станции или в парках."
635,"Автору отзыва понравилось: вежливый персонал, уют, чистота, качество еды, десерт, вино, красивый интерьер, возможность почитать книжки, кофе, авторский в том числе, большой выбор десертов, девушки максимально приветливые и помогут подобрать заказ."
636,"Автору отзыва понравилось, что здесь вкусный кофе, вежливый и внимательный персонал, уютная обстановка, возможность посидеть на веранде и выпить лимонад манго-облепиха, а также вкусные ярушки и натуральные травяные чаи."
637,"Автору отзыва понравилось, что в кафе приятный персонал, вкусный кофе и свежие булочки, а также что здесь соблюдают технологию приготовления кофе. Он также отметил приемлемые цены и вкусную еду."
638,"Автору отзыва понравилось, что в кофейне вкусный кофе с сиропом орех, быстрое обслуживание, оригинальный творческий подход к интерьеру, большой выбор выпечки, приветливый персонал и возможность с маленькими собачками. Он также отметил приемлемые цены, приличный выбор вкусностей, не громкую музыку и приятные бонусы, такие как приложение и парковка на часок."
639,"Автору отзыва понравилось, что в кафе хорошая атмосфера, вкусные гонконгские вафли, приятный дизайн, удобное расположение в центре города, разнообразная еда и вкусное кофе. Также автор отметил приятный бариста и хороший сервис."
640,"Персонал приветливый, уютный, готовят вкусно. Но в летний сезон приходится долго ждать блюда и столиков мало. Приятное место, можно провести время за работой или насладиться общением с друзьями. Много мест, приятная атмосфера, открытая кухня, большое пространство, быстрое обслуживание. Вкусные десерты, разнообразные напитки. Разрешено посещение с воспитанными собачками."
641,"Автору отзыва понравилось, что в сети кофеен Jne Price Coffe подают вкусный, насыщенный и неповторимый кофе, а также широкий выбор выпечки по доступной цене. Он также отметил приветливый и культурный персонал, который помогает выбрать круассаны и кофе. В целом, автор остался доволен посещением этого места."
642,"Автору отзыва понравилось, что в кафешке рядом с работой есть вежливый и приветливый персонал, вкусные десерты и напитки, уютная атмосфера, проводятся интересные акции и есть небольшая библиотека. Также автор отметил,что здесь можно вкусно пообедать и выпить кофе. Однако, он также указал на большое количество народа во время обеда в будние дни из-за близлежащих офисов."
643,"Автору отзыва понравилось, что в заведении есть выбор блюд в меню, вежливый персонал и удобные интерьеры. Он также отметил хорошую еду, средние цены и простоту обслуживания."
644,"Автору отзыва понравилось наличие свободного места, наличие снеков, выпечки и салатиков в наличии, качество и чистота помещения, вкусный кофе и пудинг с чиа, приветливый персонал, удобное месторасположение и подача на подносе. Он также отметил, что зелень горькая во всех салатах, но это может быть важно для кого-то."
645,"Автору отзыва понравилось новое меню, подача закусок, суп из брокколи, дружелюбные и мотивированные официанты, атмосфера заведения и вкусная еда."
646,"Автору отзыва понравилось, что в кафе есть отличный кофе, приятный персонал, вкусная еда, быстрая подача и вежливый персонал. Он также отметил странное меню, но ему понравилось пить раф кофе с лавандой и есть вафли с шоколадом и шоколадные коктейли."
647,"Автору отзыва понравилось: уютная атмосфера, вкусные блюда, десерты, персонал, классная музыка, экзотичный интерьер, свежие продукты. Он также отметил некоторые нюансы, такие как большое количество бронирования столиков в выходные и ограниченное время посещения до 2х часов."
648,"Автору отзыва понравилось, что кафе находится в ботаническом саду, где можно насладиться вкусными завтраками и кофе. Он также отметил необычный дизайн кафе, который создает атмосферу оранжереи. Официантка Оля была вежливой и улыбчивой, создавая приятную атмосферу. Автор отзыва отметил большой выбор мороженого и волшебные порции говяжьих щечек с соусом пальчики оближешь."
649,"Автору отзыва понравилось уютное место для посиделок с друзьями или семьёй за вкусным десертом. Подача блюд вдохновляет своей красотой. Большое количество зелёных растений радует в любую погоду и гармонизирует настроение. Персонал отзывчивый, быстро все готовит. Моё любимое заведение в Дубне."
650,"Автору отзыва понравилось, что в каждой новой поликлинике есть кафе, где можно перекусить или взять с собой кофе. Цены приемлемые, всегда всё свежее. Персонал очень приятный, вежливый, кофе вкусный. Обслуживают всегда быстро и вежливо. Всегда консультируют и подсказывают, если есть вопрос."
651,"Автору отзыва понравилось, что в баре есть уютная летняя веранда, где можно отдохнуть и насладиться вкусной едой и напитками. Он также отметил разнообразие меню и высокий уровень обслуживания. В целом, автор остался доволен посещением бара."
652,"Автору отзыва понравилось: вкусная еда, приятный ценник, коктейли, настойки, выбор в меню, доступность блюд, стиль и обстановка заведения."
653,"Кофейня понравилась автору отзыва своим разнообразным ассортиментом и авторскими рецептами, вкусным кофе, приятным видом из окна, отзывчивым бариста, который помог определиться с выбором напитков и десертов. Персонал приветлив, работает быстро, в зале чисто, кофе вкусный по приемлемым ценам."
654,"Негативные оценки отсутствуют. Автор отзыва положительно отзывается о кафе, отмечая его уютную атмосферу, вкусный кофе и десерты, а также приятный персонал и вкусную еду."
655,"Автору отзыва понравилось, что в кафе готовят вкусный кофе и там всегда приятно посидеть благодаря хорошей атмосфере заведения. Он также отметил, какие вкусные блюда здесь подают, особенно сырники из натурального творога, салат из авокадо с креветками и яйцо Бенедикт с лососем. Кроме того, автор обратил внимание на потрясающе вкусные десерты."
656,"Автору отзыва понравилось, что в кофейне есть десерты без сахара, а также чай с прекрасными сборами. Он также отметил вкусную пиццу, приветливый и отзывчивый персонал, уютную атмосферу и большой выбор развесного чая."
657,"Автору отзыва понравилось, что в кофейне работают профессионально и слаженно, могут помочь с выбором с учëтом пожеланий, чисто, хорошая музыка, а также вкусный кофе с солёной карамелью на сливках."
658,"Автору отзыва понравилось, что в кофейне качественный кофе за нормальную цену, вкусные сэндвичи и смузи, дружелюбный персонал, несколько залов и террас, возможность отдохнуть на природе с видом на речку, а также интересные моменты, о которых автор не будет рассказывать."
659,"Автору отзыва понравилось месторасположение, идея, дизайн, подход к мелочам, река, теплые летние вечера на закате. Он также отметил вкусные блюда и большой выбор залов, интерьер которых по-разному оформлен."
660,"Автору отзыва понравилось место благодаря выходу к речке, интерьеру и возможности любоваться летними пейзажами. Он также отметил, что в зале пахло чем-то кислым, на веранде не было музыки, а молоденькая официантка с бейджем ""стажёр"" реально зашивалась, носилась между зданиями с уставшим лицом, ну и все было довольно медленно. Шашлык и овощи-гриль были крайне посредственны, но автор не стал акцентировать на этом внимание"
661,"Что понравилось автору отзыва, игнорируй негативные оценки:

1. Номерки на стол, хотя еду нужно забирать самим.
2. Одноразовая посуда ну совсем уж ""в пользу бедных"", блин лежал буквально на картонке. 
3. Вежливый персонал, невысокие цены, вкусная еда."
662,"Автору отзыва понравилось место за его небольшой ассортимент напитков, уютный интерьер, красивые чашки, приветливые и доброжелательные сотрудники, отличная веранда и возможность позавтракать. Он также отметил, что это единственное место в городе, которое открывается рано, вкусное кофе, приятная обстановка и чистота. Автор отзыва выразил благодарность за душевное отношение к булочкам и пирожным."
663,"Автору отзыва понравилось, что еда вкусная, сотрудники добрые и весёлые, напитки очень вкусные, особенно советую попробовать ""кедровый латте со специями"". Он также отметил вкус кофе мягкой и темной обжарки, фирменные мишки Тимати и уютное место."
664,"Автору отзыва понравилось, что в кафе вкусный цезарь и вафли, вежливый персонал, уютная атмосфера и чистенький санузел, а также десерты и выпечка."
665,"Автору отзыва понравилось, что здесь вкусно и недорого, а официанты доброжелательны, вежливы и внимательны. Он также отметил отзывчивый персонал и отличное качество кофе."
666,"Автору отзыва понравилось: уютная атмосфера, вкусная еда и кофе, приветливый персонал, много окон, открытая кухня, богатое меню, туалет, детская зона и полезные мелочи вроде стоянки для скейтов и большого количества вешалок для одежды"
667,"Автору отзыва нравится ассортимент кофе, чая и десертов, приятная интересная обстановка, чистота и уют, приветливый персонал, цены не высокие за такой хороший кофе и скидка студентам."
668,"Автору отзыва понравилось, что в заведении чисто, вкусный кофе, качественные сиропы, интересные коктейли и не залеживающаяся выпечка, а также доброжелательное обслуживание и приятная девушка-бариста, которая помогла выбрать молоко к кофе и удобно расположиться."
669,"Автору отзыва понравилось, что кафе работает с самого утра, предлагает вкусную еду и уютную атмосферу, а также оригинальное меню, включающее морепродукты, каши, сырники и десерты. Он также отметил быстрое и приятное обслуживание, оригинальный интерьер отреставрированного дома и распечатки с письмами и историей дома у входа в туалеты."
670,"Что понравилось автору отзыва: Комфортабельные кабинки с кондиционером и столиком, есть меню для заказа блюд, а по завершению - бесплатное фото с сердечком - я люблю Нижний Новгород! Замечательныая идея с романтическими завтраками и ужинами на колесе обозрения. А продавец мороженого - красивый робот Дуняша, которая исполнила для нас приветственный танец - просто восторг! Приятный бонус - бесплатная профессиональная фотография после посещения колеса обзора. И конечно же прекрасные виды. Одн"
671,"Автору отзыва понравилось хорошее расположение комплекса на живописном берегу, соседство с переправой и трамплином, гарантирующие стабильный доход. Он также отметил, что для колеса обозрения место не очень хорошее, но внутри кабинки комфортно, есть музыка и полезные факты, а также можно попить и перекусить за столиком, если успеешь за один круг. Кроме того, автор рекомендует посетить кафе внизу с роботом Дуняшей и недорогие цены."
672,"Автору отзыва больше всего понравилась робот Дуняша и красивые виды из кабинки на Волгу и окрестности. Он также отмечает, что в кафе есть вкусная еда и напитки, а после 20:00 действует скидка 50%."
673,"Автору отзыва понравилось, что в кафе вкусная еда, цены оптимальные, хорошая программа лояльности, за установку приложения в подарок капучино, скидка 50% после 8-ми вечера. Он также отметил приятный интерьер и вежливый персонал. Однако, автор указал на некоторые недостатки, такие как отсутствие комбозавтраков и шакшуки, а также подбрадившие сметана и компот."
674,"Отличный персонал на кассе, вкусная еда, отличное кофе, приветливый персонал, чистота в зале, вкусные десерты, самообслуживание. Рекомендую всем."
675,"Автору отзыва понравилось, что в этом месте есть прекрасный кофе, дружелюбный приветливый персонал, уютный дворик с кафешками и магазинчиком, удобное расположение, коммуникабельные девушки, опрятные, красиво одетые, в эпоху со временем, с прошлым, уютно, обслуживают быстро и самое старое жилое здание России, предположительная дата постройки которого датируется XVI в."
676,"Автору отзыва понравилось, что в кафе есть магазин сувениров, где можно купить крендели, а также вкусные булочки, кофе и коктейли. Он также отметил приветливый и доброжелательный персонал, удобное местоположение и свежую выпечку."
677,"Автору отзыва понравилось, что в кафе дружелюбный персонал, вкусные блинчики и кофе со льдом, большой выбор блюд, приятный интерьер и вид на фонтан, а также наличие кофейных алкогольных коктейлей и великолепного айриша."
678,"Автору отзыва понравилось, что в кондитерской тихое и спокойное место с удобным расположением на Невском проспекте. Он также отметил вкусные эклеры, особенно шоколадно-ореховый и наполеон, а также кофе, чай и десерты, которые здесь подают. Кроме того, автор отметил дружелюбных продавцов и приятные цены на напитки и еду."
